iteration,passed,aid,loadTime,browser
1,true,f8bfe261-1fd3-40aa-ace2-35c8e0b7a3d2,22187,chromium-3g
2,true,b3dfe293-7a1f-48b8-8775-f342a2b5a6b5,22051,chromium-3g
3,true,5b921427-d3b4-4f07-97be-88c7af3c08db,22294,chromium-3g
4,true,797482a3-30d0-4174-8d73-251bcbbf96a0,22172,chromium-3g
5,true,5af37f5b-6037-4fe1-89d5-4de4f59af181,22538,chromium-3g
6,true,965802bf-e780-4013-a90e-149face9154a,22075,chromium-3g
7,true,064d8e5c-0170-4571-ae88-58b541b599ce,24230,chromium-3g
8,true,80de3d7a-e959-4526-b08a-556d37ecf76f,22617,chromium-3g
9,true,77775f7b-61c8-44dd-845e-f46e30e22878,22136,chromium-3g
10,true,3b887fa1-68ff-4f72-8f1b-c366c95e440a,22149,chromium-3g
11,true,7dc36e01-2b94-4643-bf94-6ce9af807d6d,22224,chromium-3g
12,true,6fd68114-15fa-4eee-abb3-e602f39cdac2,22129,chromium-3g
13,true,e642cc72-d90e-4353-8ef8-ad45be3e15af,22743,chromium-3g
14,true,8cae9d81-d0b8-43fd-b276-bca07e303afc,22114,chromium-3g
15,true,4707cfa5-e4e9-4c0a-bd25-4792c603541d,22240,chromium-3g
16,true,08100f7c-1e71-466f-9559-0b2fcfc3d047,22174,chromium-3g
17,true,45c6d9e3-ee1b-4b8b-b4f4-90edd1979bd2,21980,chromium-3g
18,true,5929825b-b6b0-45ab-bc45-cc018c787237,22302,chromium-3g
19,true,5370b651-45b5-4203-a88a-a63f595f6629,22424,chromium-3g
20,true,64b3b19b-0618-4d2c-8a4a-949c92ef4ab2,22054,chromium-3g
21,true,18023b5c-deb0-47b1-be53-406693b5bb72,22664,chromium-3g
22,true,e37834c3-1c1d-4da3-a7c9-08b594e8b720,22185,chromium-3g
23,true,eb8ff56a-3ee5-4e8f-84c8-2056daacb3ae,22504,chromium-3g
24,true,d3f3154a-ba2a-496e-9a8e-74794354cf12,23317,chromium-3g
25,true,d72fd18f-a267-4ee9-b5f1-1ad4b5748897,22511,chromium-3g
26,true,c272bcd6-7abe-4af1-9607-e006b4fbeee4,22051,chromium-3g
27,true,c95399a1-2a1c-4d11-bc8b-a49db29d1161,22166,chromium-3g
28,true,2894d030-29b8-45d2-9216-bfb577f500b2,22017,chromium-3g
29,true,51570181-6576-48eb-a129-d35b029a04b3,22993,chromium-3g
30,true,bd6d6d5b-61d8-41cc-b076-8ccace86a05c,22431,chromium-3g
