iteration,passed,aid,loadTime,browser
1,true,bccb5a6c-73b9-4d5a-bf5a-35b54bddf82c,10568,chromium
2,true,fff0ba4a-832d-4de4-844e-3f29f05c809f,7932,chromium
3,true,506a817d-f470-4388-9b77-aea92c4bd0a1,7528,chromium
4,true,32b0b26f-aeb2-4f8c-ac1b-44bc82767962,8473,chromium
5,true,bcfec263-c5ff-4eb9-ace7-1fcd20d1becb,7931,chromium
6,false,,8304,chromium
